SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
0,2807904039,Madrid,787,262333,2029,3085398,Madrid
0,2807904040,Madrid,773,77300,2051,3118959,Madrid
0,2807904041,Madrid,987,98700,1789,2720246,Madrid
1,2807904042,Madrid,1416,14160,221,3360909,Madrid
0,2807904043,Madrid,1432,130182,1819,2766365,Madrid
0,2807904044,Madrid,1579,60731,1801,2738413,Madrid
0,2807904045,Madrid,1449,36225,1619,2462208,Madrid
0,2807904046,Madrid,646,64600,1735,263826,Madrid
0,2807904047,Madrid,1101,110100,1779,2705741,Madrid
0,2807904048,Madrid,989,49450,1669,253862,Madrid
0,2807904049,Madrid,1366,68300,1562,2375888,Madrid
0,2807904050,Madrid,724,72400,1562,2374917,Madrid
0,2807904051,Madrid,1322,440667,1679,2553656,Madrid
0,2807904052,Madrid,1111,55550,174,2646378,Madrid
0,2807904053,Madrid,1213,60650,1677,2549633,Madrid
0,2807904054,Madrid,1275,159375,1807,2748069,Madrid
1,2807904055,Madrid,1649,549667,1847,280908,Madrid
0,2807904056,Madrid,1503,30060,1745,2653968,Madrid
3,2807904057,Madrid,1134,28350,1524,231719,Madrid
1,2807904058,Madrid,1255,31375,1723,262044,Madrid
0,2807904060,Madrid,1344,22400,1665,2532083,Madrid
1,2807904061,Madrid,1436,478667,186,282804,Madrid
0,2807904062,Madrid,1403,175375,1957,2976503,Madrid
0,2807904063,Madrid,1623,81150,1839,2797046,Madrid
0,2807904064,Madrid,1114,371333,1993,3030167,Madrid
0,2807904065,Madrid,1620,40500,1917,2914438,Madrid
0,2807904067,Madrid,1142,28550,1968,2993103,Madrid
0,2807904068,Madrid,1013,337667,1959,2978685,Madrid
0,2807904069,Madrid,1587,31740,1946,2959871,Madrid
0,2807904070,Madrid,1296,25920,1718,2612821,Madrid
0,2807904071,Madrid,1220,7625,1636,2488382,Madrid
0,2807904072,Madrid,720,36000,1784,271222,Madrid
0,2807904073,Madrid,1367,34175,1977,3007146,Madrid
0,2807904074,Madrid,1116,85846,1596,2427249,Madrid
0,2807904075,Madrid,991,49550,1865,2836352,Madrid
0,2807904076,Madrid,893,44650,2028,3083701,Madrid
0,2807904077,Madrid,1100,55000,2044,3108452,Madrid
0,2807904078,Madrid,684,34200,2021,307349,Madrid
0,2807904079,Madrid,1113,37100,2006,305014,Madrid
0,2807904080,Madrid,750,83333,2087,3173685,Madrid
0,2807904081,Madrid,1092,21840,2047,3113489,Madrid
0,2807904082,Madrid,849,42450,1698,2582216,Madrid
0,2807904083,Madrid,766,38300,1874,2849711,Madrid
0,2807904084,Madrid,799,39950,1829,2780664,Madrid
0,2807904085,Madrid,2165,270625,1851,2814278,Madrid
0,2807904086,Madrid,1572,120923,186,2828139,Madrid
0,2807904087,Madrid,2453,350429,1961,2981841,Madrid
3,2807904088,Madrid,2020,50500,1878,285541,Madrid
0,2807904089,Madrid,736,73600,1696,257874,Madrid
0,2807904090,Madrid,1257,41900,1893,2878391,Madrid
0,2807904091,Madrid,1498,37450,1701,2586958,Madrid
0,2807904092,Madrid,947,47350,1739,2644829,Madrid
0,2807904093,Madrid,1242,62100,1683,255873,Madrid
0,2807904094,Madrid,1403,35075,1841,2799403,Madrid
0,2807904095,Madrid,710,35500,1927,2930237,Madrid
0,2807904096,Madrid,780,39000,1985,3017902,Madrid
0,2807904097,Madrid,1014,33800,2206,3353916,Madrid
0,2807904098,Madrid,1299,43300,2144,3260293,Madrid
0,2807904099,Madrid,1094,27350,1872,2846409,Madrid
0,2807904100,Madrid,757,37850,1826,2776133,Madrid
1,2807904101,Madrid,884,44200,1711,260176,Madrid
1,2807904102,Madrid,1182,29550,1916,2914202,Madrid
0,2807904103,Madrid,1225,61250,1878,28562,Madrid
0,2807904104,Madrid,1146,57300,1876,2853357,Madrid
0,2807904105,Madrid,1128,37600,2032,3090523,Madrid
0,2807904106,Madrid,1069,53450,1826,2776574,Madrid
0,2807904107,Madrid,724,36200,2121,3225072,Madrid
0,2807904108,Madrid,943,23575,1928,2931891,Madrid
0,2807904109,Madrid,1694,42350,1919,2917923,Madrid
0,2807904110,Madrid,1157,57850,1929,2933266,Madrid
0,2807904111,Madrid,1801,36020,2024,3077297,Madrid
0,2807904112,Madrid,1249,416333,2056,3125911,Madrid
0,2807904113,Madrid,1136,378667,2132,3242723,Madrid
0,2807904114,Madrid,1511,167889,2137,3250443,Madrid
0,2807904115,Madrid,1892,18920,2214,336693,Madrid
0,2807904116,Madrid,873,43650,2186,3324361,Madrid
0,2807904117,Madrid,857,95222,2153,3274783,Madrid
0,2807904118,Madrid,804,89333,2168,3296211,Madrid
0,2807904119,Madrid,1345,192143,2202,3348969,Madrid
0,2807904120,Madrid,996,33200,2152,3272451,Madrid
0,2807904121,Madrid,1226,408667,2055,312525,Madrid
0,2807904123,Madrid,1530,51000,1994,3032984,Madrid
0,2807904124,Madrid,1010,336667,2195,3337863,Madrid
1,2807904126,Madrid,1496,29920,199,3025473,Madrid
0,2807904127,Madrid,1097,27425,188,285854,Madrid
0,2807904128,Madrid,1083,54150,1837,2794213,Madrid
0,2807904129,Madrid,724,72400,2313,3517537,Madrid
0,2807904130,Madrid,822,117429,2217,3371334,Madrid
0,2807904131,Madrid,1200,133333,1913,2908637,Madrid
0,2807905001,Madrid,1156,38533,219,3330831,Madrid
0,2807905002,Madrid,1637,38976,2236,3399667,Madrid
0,2807905003,Madrid,2011,105842,225,3421563,Madrid
0,2807905004,Madrid,1510,215714,2195,3338478,Madrid
0,2807905005,Madrid,1412,28240,2161,3285658,Madrid
0,2807905006,Madrid,1345,192143,2253,3425715,Madrid
0,2807905007,Madrid,1894,145692,2184,3320963,Madrid
0,2807905008,Madrid,1586,68957,2232,3393457,Madrid
0,2807905009,Madrid,1212,110182,2194,3336147,Madrid
0,2807905010,Madrid,904,150667,2256,343129,Madrid
0,2807905011,Madrid,803,40150,200,3041075,Madrid
0,2807905012,Madrid,1161,29025,1871,2844925,Madrid
0,2807905013,Madrid,819,27300,2245,3414058,Madrid
0,2807905014,Madrid,1071,21420,179,272208,Madrid
0,2807905015,Madrid,1056,52800,1891,2875687,Madrid
0,2807905016,Madrid,846,84600,1535,2333612,Madrid
1,2807905017,Madrid,1366,68300,1825,2774888,Madrid
0,2807905018,Madrid,1296,64800,1531,2328809,Madrid
0,2807905019,Madrid,911,45550,1738,2643647,Madrid
0,2807905020,Madrid,1266,42200,1497,2275806,Madrid
0,2807905021,Madrid,800,40000,1561,2373688,Madrid
1,2807905022,Madrid,1445,72250,1637,2489441,Madrid
1,2807905023,Madrid,1383,46100,188,2858359,Madrid
