SALONES;ID;NAME;POPULATION;POP_DENS;PPIDX_CY;PPPC_CY;REGION
0;4718611009;Valladolid;788;19700;126,6;19249,99;CastillayL
0;4718611010;Valladolid;1364;17050;120,2;18279,06;CastillayL
0;4718611012;Valladolid;823;20575;103,4;15727,35;CastillayL
0;4718611013;Valladolid;666;16650;87,3;13274,13;CastillayL
1;4718611014;Valladolid;874;43700;152,5;23189,73;CastillayL
0;4718611015;Valladolid;1499;9368,8;154,9;23550,66;CastillayL
0;4718611016;Valladolid;1083;21660;145,1;22060,81;CastillayL
0;4718611017;Valladolid;1218;12180;127,2;19337,79;CastillayL
0;4718611018;Valladolid;1079;21580;105,9;16102,04;CastillayL
0;4718611019;Valladolid;912;45600;101,8;15475,22;CastillayL
0;4718611020;Valladolid;1380;34500;99;15060,91;CastillayL
0;4718611021;Valladolid;1215;2892,9;151,7;23063,69;CastillayL
0;4718611022;Valladolid;919;91900;70,1;10660,5;CastillayL
0;4718611025;Valladolid;1674;41850;99,5;15128,55;CastillayL
0;4718611026;Valladolid;1742;6221,4;122;18555,09;CastillayL
0;4718611027;Valladolid;737;36850;103,6;15752,39;CastillayL
0;4718611028;Valladolid;1190;10818,2;138;20990,8;CastillayL
0;4718611029;Valladolid;706;35300;113,4;17246,16;CastillayL
0;4718611031;Valladolid;2328;6847,1;166;25237,38;CastillayL
0;4718611032;Valladolid;2104;8416;183,7;27933,94;CastillayL
0;4718611033;Valladolid;1643;7823,8;127,9;19446,1;CastillayL
0;4718611034;Valladolid;1560;13000;115,6;17572,94;CastillayL
0;4718611035;Valladolid;1418;10907,7;144,6;21987,04;CastillayL
0;4718611036;Valladolid;1965;3572,7;160,2;24367,46;CastillayL
0;4718611037;Valladolid;1654;9188,9;173,9;26441,07;CastillayL
0;4718611038;Valladolid;2188;8415,4;144;21900,65;CastillayL
0;4718611039;Valladolid;1481;1874,7;173,9;26451,8;CastillayL
0;4718611040;Valladolid;938;9380;134;20378,61;CastillayL
0;4718611041;Valladolid;1681;1698;135,4;20595,11;CastillayL
0;4718611042;Valladolid;1678;434,7;144,7;22000,63;CastillayL
0;4718611043;Valladolid;1604;8020;150,7;22913,68;CastillayL
0;4718612001;Valladolid;813;13;133,8;20349,02;CastillayL
0;4718612002;Valladolid;1016;50,3;140;21290,39;CastillayL
0;4718612003;Valladolid;1239;51,2;72,9;11091,73;CastillayL
0;4718612004;Valladolid;1627;125,6;186,4;28340,57;CastillayL
0;801901001;Barcelona;1271;5526,1;128,8;19586,48;Cataluna
1;801901002;Barcelona;1428;35700;106,2;16156,81;Cataluna
0;801901003;Barcelona;3545;88625;108,9;16556,92;Cataluna
0;801901004;Barcelona;2884;28840;131,8;20042,16;Cataluna
0;801901005;Barcelona;2355;39250;103,1;15682,9;Cataluna
0;801901006;Barcelona;1553;38825;123,7;18811,87;Cataluna
0;801901007;Barcelona;1965;49125;116,6;17729,34;Cataluna
0;801901008;Barcelona;3285;82125;68,5;10424,3;Cataluna
0;801901009;Barcelona;2191;73033,3;113,5;17257,31;Cataluna
0;801901010;Barcelona;2424;80800;85,6;13011,59;Cataluna
0;801901011;Barcelona;3225;80625;83,2;12646,22;Cataluna
0;801901012;Barcelona;1896;94800;121,7;18510,92;Cataluna
0;801901013;Barcelona;1439;71950;106,2;16143,73;Cataluna
0;801901014;Barcelona;2101;105050;100;15200,06;Cataluna
0;801901015;Barcelona;2288;114400;104,6;15913,89;Cataluna
0;801901016;Barcelona;2118;105900;87,9;13369,78;Cataluna
0;801901017;Barcelona;2539;126950;108,1;16436,61;Cataluna
0;801901018;Barcelona;1520;25333,3;120,3;18289,59;Cataluna
1;801901019;Barcelona;2888;36100;94,6;14379,45;Cataluna
0;801901020;Barcelona;2159;23988,9;157,6;23973,78;Cataluna
1;801901021;Barcelona;2089;26112,5;166,5;25322,04;Cataluna
0;801901022;Barcelona;1499;18737,5;168;25547,28;Cataluna
0;801901023;Barcelona;2023;22477,8;162,2;24669,9;Cataluna
0;801901025;Barcelona;1316;16450;147,8;22475,04;Cataluna
1;801901026;Barcelona;8060;134333,3;163,4;24841,2;Cataluna
0;801901027;Barcelona;1493;29860;145,7;22164,05;Cataluna
0;801901028;Barcelona;1863;26614,3;167;25388,79;Cataluna
0;801901029;Barcelona;1389;27780;148,6;22600,55;Cataluna
1;801901030;Barcelona;2404;7754,8;127,2;19338,09;Cataluna
0;801901031;Barcelona;1543;30860;130,1;19778,16;Cataluna
0;801901032;Barcelona;1787;2749,2;118,5;18014,31;Cataluna
